domain,owner,type,certified_date,cert_level,detail_url
pgdlechan.haiphong.edu.vn,Phòng GDĐT Quận Lê Chân,Cơ quan nhà nước,05/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/pgdlechanhaiphongeduvn-1715143397
pgdtpdienbienphu.edu.vn,Phòng Giáo dục và Đào tạo thành phố Điện Biên Phủ,Tổ chức nhà nước,21/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/pgdtpdienbienphueduvn-1732089943
phantichdulieu.quangngai.gov.vn,Sở Thông tin và Truyền thông Quảng Ngãi,Tổ chức nhà nước,13/12/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/phantichdulieuquangngaigovvn-1734078116
phucthanh.tpninhbinh.ninhbinh.gov.vn,"Uỷ ban nhân dân phường Phúc Thành, thành phố Ninh Bình, tỉnh Ninh Bình",Tổ chức nhà nước,30/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/phucthanhtpninhbinhninhbinhgovvn-1730186319
phuninh.phutho.gov.vn,"UBND huyện Phù Ninh, tỉnh Phú Thọ",Tổ chức nhà nước,16/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/phuninhphuthogovvn-1726271875
phuong12.dalat.lamdong.gov.vn,"UBND Phường 12, TP Đà Lạt, Lâm Đồng",Tổ chức nhà nước,30/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/phuong12dalatlamdonggovvn-1724916872
phuong2.dalat.lamdong.gov.vn,"UBND Phường 2, TP Đà Lạt, Lâm Đồng",Tổ chức nhà nước,29/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/phuong2dalatlamdonggovvn-1724903904
phuong3.dalat.lamdong.gov.vn,"UBND Phường 3, TP Đà Lạt, Lâm Đồng",Tổ chức nhà nước,29/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/phuong3dalatlamdonggovvn-1724903991
phuong4.dalat.lamdong.gov.vn,"UBND Phường 4, TP Đà Lạt, Lâm Đồng",Tổ chức nhà nước,29/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/phuong4dalatlamdonggovvn-1724904064
phuong5.dalat.lamdong.gov.vn,"UBND Phường 5, TP Đà Lạt, Lâm Đồng",Tổ chức nhà nước,29/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/phuong5dalatlamdonggovvn-1724904131
ptanhxtanh.haiphong.edu.vn,Trường Trung học phổ thông Anhxtanh,Cơ quan nhà nước,09/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ptanhxtanhhaiphongeduvn-1720493109
publicbank.com.vn,Ngân hàng TNHH Một thành viên Public Bank Việt Nam,Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/publicbank.com.vn
pvcombank.com.vn,Ngân hàng TMCP Đại Chúng Việt Nam (PVcomBank),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/pvcombank.com.vn
qnitrade.gov.vn,"Trung tâm Xúc tiến và Phát triển công thương Quảng Ninh, Sở Công Thương",Tổ chức nhà nước,15/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/qnitradegovvn-1723541660
quan1.hochiminhcity.gov.vn,Ủy ban nhân dân quận 1,Tổ chức nhà nước,06/12/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/quan1hochiminhcitygovvn-1733391916
quangbinh.gov.vn,UBND tỉnh Quảng Bình,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/quangbinh.gov.vn
quangnam.gov.vn,UBND tỉnh Quảng Nam,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/quangnam.gov.vn
quangngai.gov.vn,UBND tỉnh Quảng Ngãi,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/quangngai.gov.vn
quangninh.gov.vn,UBND tỉnh Quảng Ninh,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/quangninh.gov.vn
quangtri.gov.vn,UBND tỉnh Quảng Trị,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/quangtri.gov.vn
quanlydisan.quangngai.gov.vn,Sở Thông tin và Truyền thông Quảng Ngãi,Tổ chức nhà nước,13/12/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/quanlydisanquangngaigovvn-1734078138
quanlythanhtra.quangngai.gov.vn,Sở Thông tin và Truyền thông Quảng Ngãi,Tổ chức nhà nước,13/12/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/quanlythanhtraquangngaigovvn-1710902160
quochoi.vn,Cổng Thông tin Điện tử Quốc hội Việt Nam,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/quochoi.vn
quydautuphattrien.hanoi.gov.vn,Quỹ đầu tư phát triển thành phố Hà Nội,Tổ chức nhà nước,09/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/quydautuphattrienhanoigovvn-1728375990
quyhoach.thanhpho.quangngai.gov.vn,"Thành phố Quảng Ngãi, Tỉnh Quảng Ngãi",Tổ chức nhà nước,25/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/quyhoachthanhphoquangngaigovvn-1729762550
rid.vista.gov.vn,Cục thông tin khoa học và công nghệ quốc gia,Tổ chức nhà nước,31/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ridvistagovvn-1730344681
robotchungkhoan.vn,Siêu thị chứng khoán Nududo,Ngân hàng - Tổ chức tài chính,28/12/2021,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/robotchungkhoanvn-1640690875
sacombank.com,Ngân hàng TMCP Sài Gòn Thương Tín (Sacombank),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/sacombank.com
sacombank.com.vn,Ngân hàng TMCP Sài Gòn Thương Tín (Sacombank),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/sacombank.com.vn
saigonbank.com.vn,Ngân hàng TMCP Sài Gòn Công Thương (Saigonbank),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/saigonbank.com.vn
sathach.cdhue.edu.vn,Trường Cao đẳng Huế,Tổ chức nhà nước,06/12/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/sathachcdhueeduvn-1733470513
sav.gov.vn,Kiểm toán Nhà nước Việt Nam,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/sav.gov.vn
sbv.gov.vn,Ngân hàng Nhà nước Việt Nam,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/sbv.gov.vn
scb.com.vn,Ngân hàng TMCP Sài Gòn (SCB),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/scb.com.vn
seabank.com.vn,Ngân hàng TMCP Đông Nam Á (SeABank),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/seabank.com.vn
shb.com.vn,Ngân hàng TMCP Sài Gòn - Hà Nội (SHB),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/shb.com.vn
shinhan.com.vn,Ngân hàng TNHH Một thành viên Shinhan Việt Nam,Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/shinhan.com.vn
shtp.hochiminhcity.gov.vn,Ban Quản lý Khu Công nghệ cao Thành phố Hồ CHí Minh,Tổ chức nhà nước,24/12/2025,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/shtphochiminhcitygovvn-1760948521
skhcn.dienbien.gov.vn,Sở Khoa học và Công nghệ tỉnh Diện Biên,Tổ chức nhà nước,16/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/skhcndienbiengovvn-1719821923
skhdt.dienbien.gov.vn,Sở Kế hoạch và Đầu tư tỉnh Điện Biên,Tổ chức nhà nước,21/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/skhdtdienbiengovvn-1732090078
sldtbxh.ninhbinh.gov.vn,Sở Lao động - Thương binh và Xã hội tỉnh Ninh Bình,Tổ chức nhà nước,26/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/sldtbxhninhbinhgovvn-1727227028
smartbanking.bidv.com.vn,BIDV SmartBanking,Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/smartbanking.bidv.com.vn
smartone.vps.com.vn,Công ty chứng khoán VPS,Ngân hàng - Tổ chức tài chính,06/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/httpssmartonevpscomvn-1619694408
smartpro.vps.com.vn,Công ty chứng khoán VPS,Ngân hàng - Tổ chức tài chính,06/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/httpssmartprovpscomvn-1619694410
snnptnt.dienbien.gov.vn,Sở Nông nghiệp và Phát triển nông thôn tỉnh Điện Biên,Tổ chức nhà nước,12/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/snnptntdienbiengovvn-1726100841
sogiaothong.ninhbinh.gov.vn,Sở Giao thông vận tải tỉnh Ninh Bình,Tổ chức nhà nước,27/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/sogiaothongninhbinhgovvn-1719458108
sondien.dilinh.lamdong.gov.vn,UBND xã Sơn Điền - huyện Di Linh,Tổ chức nhà nước,16/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/sondiendilinhlamdonggovvn-1712821901
sonla.gov.vn,UBND tỉnh Sơn La,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/sonla.gov.vn
sonoivu.hatinh.gov.vn,Sở Nội vụ tỉnh Hà Tĩnh,Tổ chức nhà nước,11/02/2025,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/sonoivuhatinhgovvn-1738653229
sonongnghiep.ninhbinh.gov.vn,Sở Nông nghiệp và phát triển nông thôn tỉnh Ninh Bình,Tổ chức nhà nước,29/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/sonongnghiepninhbinhgovvn-1724814439
sotnmt.ninhbinh.gov.vn,Sở Tài nguyên và Môi trường tỉnh Ninh Bình,Tổ chức nhà nước,27/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/sotnmtninhbinhgovvn-1719458221
ssi.com.vn,Công ty Cổ phần Chứng khoán SSI,Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ssi.com.vn
stp.lamdong.gov.vn,Sở Tư pháp tỉnh Lâm Đồng,Tổ chức nhà nước,25/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/stplamdonggovvn-1731893316
sunvalue.vn,Công Ty Cổ Phần Đầu Tư Và Thẩm Định Quốc Tế Đông Dương,Ngân hàng - Tổ chức tài chính,16/05/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/sunvaluevn-1652676267
tannghia.dilinh.lamdong.gov.vn,"UBND xã Tân Nghĩa, huyện Di Linh, tỉnh Lâm Đồng",Tổ chức nhà nước,24/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/tannghiadilinhlamdonggovvn-1727165820
tanthanh.tpninhbinh.ninhbinh.gov.vn,"Uỷ ban nhân dân phường Tân Thành, thành phố Ninh Bình, tỉnh Ninh Bình",Tổ chức nhà nước,27/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/tanthanhtpninhbinhninhbinhgovvn-1719472585
tanthuong.dilinh.lamdong.gov.vn,"UBND Xã Tân Thượng, huyện Di Linh, tỉnh Lâm Đồng",Tổ chức nhà nước,16/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/tanthuongdilinhlamdonggovvn-1712894043
tanung.dalat.lamdong.gov.vn,UBND Xã Tà Nung,Tổ chức nhà nước,23/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/tanungdalatlamdonggovvn-1724316783
tayninh.gov.vn,UBND tỉnh Tây Ninh,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/tayninh.gov.vn
tcbs.com.vn,Công ty Cổ phần Chứng khoán Kỹ Thương (TCBS),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/tcbs.com.vn
techcombank.com,Ngân hàng TMCP Kỹ thương Việt Nam (Techcombank),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/techcombank.com
techcombank.com.vn,Ngân hàng TMCP Kỹ thương Việt Nam (Techcombank),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/techcombank.com.vn
th-thcschienthang.haiphong.edu.vn,Trường THTHCS Chiến Thắng,Cơ quan nhà nước,08/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/th-thcschienthanghaiphongeduvn-1714638066
thaibinh.gov.vn,UBND tỉnh Thái Bình,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thaibinh.gov.vn
thainguyen.gov.vn,UBND tỉnh Thái Nguyên,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thainguyen.gov.vn
thanhbinh.tpninhbinh.ninhbinh.gov.vn,"Uỷ ban nhân dân phường Thanh Bình, thành phố Ninh Bình, tỉnh Ninh Bình",Tổ chức nhà nước,30/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thanhbinhtpninhbinhninhbinhgovvn-1730186552
thanhdung.haiphong.edu.vn,Trường Tiểu học Anh Dũng,Cơ quan nhà nước,08/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thanhdunghaiphongeduvn-1714641448
thanhhoa.gov.vn,UBND tỉnh Thanh Hóa,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thanhhoa.gov.vn
thanhhoafdfund.gov.vn,"Ban quản lý Quỹ Bảo vệ, phát triển rừng và Phòng, chống thiên tai tỉnh Thanh Hóa",Tổ chức nhà nước,09/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thanhhoafdfundgovvn-1722940870
thanhmy.donduong.lamdong.gov.vn,UBND Thị trấn Thạnh Mỹ - Huyện Đơn Dương,Tổ chức nhà nước,27/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thanhmydonduonglamdonggovvn-1724659405
thanhnhaho.vn,"Trung tâm Bảo tồn di sản Thành Nhà Hồ, tỉnh Thanh Hóa",Tổ chức nhà nước,25/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thanhnhahovn-1732249658
thcsdaithang.haiphong.edu.vn,Trường THCS Đại Thắng,Cơ quan nhà nước,08/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thcsdaithanghaiphongeduvn-1720432040
thcsdonghoa.haiphong.edu.vn,Trường THCS Đồng Hoà,Cơ quan nhà nước,08/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thcsdonghoahaiphongeduvn-1715156210
thcsdungtien.haiphong.edu.vn,Trường THCS Dũng Tiến,Cơ quan nhà nước,08/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thcsdungtienhaiphongeduvn-1714564137
thcshoabinhtranduong.haiphong.edu.vn,Trường THCS Hòa Bình- Trấn Dương,Cơ quan nhà nước,18/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thcshoabinhtranduonghaiphongeduvn-1721189230
thcshoanghia.haiphong.edu.vn,Trường THCS Hòa Nghĩa,Cơ quan nhà nước,15/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thcshoanghiahaiphongeduvn-1720840220
thcsnhanhoa-tamdavb.haiphong.edu.vn,Trường THCS Nhân Hòa Tam Đa,Cơ quan nhà nước,10/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thcsnhanhoa-tamdavbhaiphongeduvnhomegd2-1720537985
thcsquyettien.haiphong.edu.vn,Trường THCS Quyết Tiến,Tổ chức nhà nước,21/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thcsquyettienhaiphongeduvn-1724204599
thcstienthanh.haiphong.edu.vn,Trường THCS Tiên Thanh,Cơ quan nhà nước,19/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thcstienthanhhaiphongeduvn-1721291826
thcsvinhantanlien.haiphong.edu.vn,Trường THCS Vĩnh An - Tân Liên,Cơ quan nhà nước,08/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thcsvinhantanlienhaiphongeduvn-1714621053
thcsvinhquangtienglang.haiphong.edu.vn,Trường THCS Vinh Quang,Cơ quan nhà nước,08/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thcsvinhquangtienglanghaiphongeduvn-1715155649
thdaphuc.haiphong.edu.vn,Trường Tiểu học Đa Phúc,Tổ chức nhà nước,20/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thdaphuchaiphongeduvn-1724122865
thdongminh.haiphong.edu.vn,Trường Tiểu học Đồng Minh,Cơ quan nhà nước,08/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thdongminhhaiphongeduvn-1714613185
thhoabinh.haiphong.edu.vn,Trường TH Hòa Bình,Cơ quan nhà nước,08/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thhoabinhhaiphongeduvn-1715155765
thhungthang.haiphong.edu.vn,Trường tiểu học Hùng Thắng,Cơ quan nhà nước,08/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thhungthanghaiphongeduvn-1714788175
thitrandilinh.dilinh.lamdong.gov.vn,UBND thị trấn Di Linh,Tổ chức nhà nước,16/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thitrandilinhdilinhlamdonggovvn-1712541918
thitranme.giavien.ninhbinh.gov.vn,"Uỷ ban nhân dân thị trấn Me, huyện Gia Viễn, tỉnh Ninh Bình",Tổ chức nhà nước,27/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thitranmegiavienninhbinhgovvn-1719473152
thitranthinhvuong.giavien.ninhbinh.gov.vn,"Uỷ ban nhân dân thị trấn Thịnh Vượng, huyện Gia Viễn, tỉnh Ninh Bình",Tổ chức nhà nước,11/02/2025,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thitranthinhvuonggiavienninhbinhgovvn-1739243305
thlienhao.haiphong.edu.vn,Trường Tiểu học Kiến Thiết,Cơ quan nhà nước,09/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thlienhaohaiphongeduvn-1720492473
thnguyenduccanh.haiphong.edu.vn,Trường Tiểu học Nguyễn Đức Cảnh,Cơ quan nhà nước,05/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thnguyenduccanhhaiphongeduvn-1714720983
thnhanhoa.haiphong.edu.vn,Trường Tiểu học Nhân Hoà,Cơ quan nhà nước,08/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thnhanhoahaiphongeduvn-1714612827
thongkecantho.gso.gov.vn,Cục Thống kê TP. Cần Thơ,Tổ chức nhà nước,30/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thongkecanthogsogovvn-1727661660
thptbachdang.haiphong.edu.vn,Trường THPT Bạch Đằng,Cơ quan nhà nước,05/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thptbachdanghaiphongeduvn-1715141990
thptconghien.haiphong.edu.vn,Trường THPT Cộng Hiền,Tổ chức nhà nước,19/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thptconghienhaiphongeduvn-1724038481
thptleichmoc.haiphong.edu.vn,Trường THPT Lê Ích Mộc,Cơ quan nhà nước,08/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thptleichmochaiphongeduvn-1715147386
thptluongkhanhthien.haiphong.edu.vn,THPT Lương Khánh Thiện,Cơ quan nhà nước,08/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thptluongkhanhthienhaiphongeduvn-1720432236
thptluongthevinh.haiphong.edu.vn,Trường THPT Lương Thế Vinh,Cơ quan nhà nước,08/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thptluongthevinhhaiphongeduvn-1714707262
thptnamtrieu.haiphong.edu.vn,Trường THPT Nam Triệu,Cơ quan nhà nước,05/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thptnamtrieuhaiphongeduvn-1715154470
thpttantrao.haiphong.edu.vn,Trường THPT Tân Trào,Cơ quan nhà nước,05/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thpttantraohaiphongeduvn-1715141397
thptvinhbao.haiphong.edu.vn,Trường THPT Vĩnh Bảo,Cơ quan nhà nước,05/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thptvinhbaohaiphongeduvn-1719836996
thquoctuan.haiphong.edu.vn,Trường Tiểu học Quốc Tuấn,Tổ chức nhà nước,15/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thquoctuanhaiphongeduvn-1723553643
thuongkiem.kimson.ninhbinh.gov.vn,Uỷ ban nhân dân xã Thượng Kiệm,Tổ chức nhà nước,06/12/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thuongkiemkimsonninhbinhgovvn-1733298508
thuvienkhcn.quangngai.gov.vn,Sở Thông tin và Truyền thông Quảng Ngãi,Tổ chức nhà nước,13/12/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thuvienkhcnquangngaigovvn-1710902134
thuvientinhthanhhoa.vn,Thư viện tỉnh Thanh Hóa,Tổ chức nhà nước,26/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thuvientinhthanhhoavn-1727317554
tiengiang.gov.vn,UBND tỉnh Tiền Giang,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/tiengiang.gov.vn
tinnhiemmang.vn,Trung tâm An ninh mạng Quốc gia (NCA),Tổ chức nhà nước,01/05/2025,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/tinnhiemmangvn-1617812364
toaan.gov.vn,Tòa án Nhân dân Tối cao,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/toaan.gov.vn
tpb.vn,Ngân hàng TMCP Tiên Phong (TPBank),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/tpb.vn
tpbank.vn,Ngân hàng TMCP Tiên Phong (TPBank),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/tpbank.vn
tpninhbinh.ninhbinh.gov.vn,UBND Thành Phố Ninh Bình,Tổ chức nhà nước,26/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/tpninhbinhninhbinhgovvn-1727255999
tramhanh.dalat.lamdong.gov.vn,UBND Xã Trạm Hành,Tổ chức nhà nước,18/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/tramhanhdalatlamdonggovvn-1726451354
travellink.vn,Công Ty Cổ Phần Công Nghệ Và Truyền Thông Vnlink,Cơ quan nhà nước,30/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/travellinkvn-1720173906
travinh.gov.vn,UBND tỉnh Trà Vinh,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/travinh.gov.vn
trungcapnghemiennui.edu.vn,Trường Trung cấp nghề Miền núi Thanh Hóa,Tổ chức nhà nước,17/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/trungcapnghemiennuieduvn-1729133141
trungtamnuocsach.vinhlong.gov.vn,Trung tâm Nước sạch và Vệ sinh Môi trường Nông thôn tỉnh Vĩnh Long,Tổ chức nhà nước,15/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/trungtamnuocsachvinhlonggovvn-1723689821
