domain,owner,type,certified_date,cert_level,detail_url
dran.donduong.lamdong.gov.vn,UBND Thị Trấn DRan - Huyện Đơn Dương,Tổ chức nhà nước,27/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/drandonduonglamdonggovvn-1724659486
dti.quangngai.gov.vn,Sở Thông tin và Truyền thông Quảng Ngãi,Tổ chức nhà nước,13/12/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dtiquangngaigovvn-1688609268
dti.vksndtc.gov.vn,Viện kiểm sát nhân dân tối cao,Tổ chức nhà nước,14/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dtivksndtcgovvn-1723613350
dvcnb.vista.gov.vn,Cục thông tin khoa học và công nghệ quốc gia,Tổ chức nhà nước,31/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/dvcnbvistagovvn-1730344663
ebanking.agribank.com.vn,Agribank E-Banking,Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ebanking.agribank.com.vn
endpoint.quangngai.gov.vn,Sở Thông tin và Truyền thông Quảng Ngãi,Tổ chức nhà nước,13/12/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/endpointquangngaigovvn-1688609310
eximbank.com.vn,Ngân hàng TMCP Xuất Nhập Khẩu Việt Nam (Eximbank),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/eximbank.com.vn
festivalhoa.lamdong.gov.vn,Festivalhoa Đà Lạt,Tổ chức nhà nước,30/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/festivalhoalamdonggovvn-1730190285
gdnn-gdtxdakto.edu.vn,Trung tâm GDNN - GDTX huyện Đăk Tô,Tổ chức nhà nước,15/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/gdnn-gdtxdaktoeduvn-1728872475
gdt.gov.vn,Tổng cục Thuế,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/gdt.gov.vn
giahiep.dilinh.lamdong.gov.vn,UBND xã Gia Hiệp - tỉnh Lâm Đồng,Tổ chức nhà nước,16/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/giahiepdilinhlamdonggovvn-1711531023
gialai.gov.vn,UBND tỉnh Gia Lai,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/gialai.gov.vn
gntt.ninhbinh.gov.vn,Sở Thông tin và Truyền thông tỉnh Ninh Bình,Tổ chức nhà nước,22/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/gnttninhbinhgovvn-1721619917
gpbank.com.vn,Ngân hàng Thương mại TNHH MTV Dầu khí Nhàn rỗi (GPBank),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/gpbank.com.vn
