domain,owner,category_type,certified_date,cert_level,license_number,status,detail_url
3qtzh.playfun.vn,CÔNG TY CỔ PHẦN FUNTAP ,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2026-01-13,Giấy phép (ABEI),14/QĐ-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
3quanlonghoi.playfun.vn,CÔNG TY CỔ PHẦN FUNTAP,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2021-11-18,Giấy phép (ABEI),1848/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3qvl.vn,CÔNG TY CỔ PHẦN VGP,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2018-02-09,Giấy phép (ABEI),205/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3qvosong.vn,CÔNG TY CỔ PHẦN ACE GAME,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2022-11-16,Giấy phép (ABEI),2098/QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
3tonline.vn,CÔNG TY CỔ PHẦN GIẢI TRÍ TRỰC TUYẾN 3T,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2026-07-13,Giấy phép (ABEI),414/QĐ-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
www.play.3tonline.vn,CÔNG TY CỔ PHẦN GIẢI TRÍ TRỰC TUYẾN 3T,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2024-11-19,Giấy phép (ABEI),2004/QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
3truykich.vn,CÔNG TY TNHH GZONE MEDIA VIỆT NAM,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2020-04-15,Giấy phép (ABEI),572/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
4deyeu.vn,CÔNG TY TNHH SÁNG TẠO ĐA PHƯƠNG TIỆN,"GIẤY XÁC NHẬN THÔNG BÁO PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G2,G3,G4",2018-08-30,Giấy phép (ABEI),222/GXN-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
megastore.net.vn,CÔNG TY TNHH SÁNG TẠO ĐA PHƯƠNG TIỆN,"GIẤY XÁC NHẬN THÔNG BÁO PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G2,G3,G4",2018-08-30,Giấy phép (ABEI),222/GXN-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
4sv.vn,Công ty cổ phần Đầu tư vì sinh viên Việt Nam,Website - Trang mạng xã hội,,Giấy phép (TVPL PDF),,valid,
568e.vn,CÔNG TY CỔ PHẦN GIẢI TRÍ 568E,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2016-12-30,Giấy phép (ABEI),2350/QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
568e.vnguyễn,CÔNG TY CỔ PHẦN GIẢI TRÍ 568E,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2024-12-23,Giấy phép (ABEI),2246/QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
568play.vn,CÔNG TY CỔ PHẦN GIẢI TRÍ 568E ,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2025-06-20,Giấy phép (ABEI),273/QĐ-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
5game.vn,CÔNG TY CỔ PHẦN SMARTSCALE,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2019-08-01,Giấy phép (ABEI),1173/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
5giay.vn,Công ty Cổ phần Thương mại và Dịch vụ Tin học Nhật Nguyệt,Website - Trang mạng xã hội,,Giấy phép (TVPL PDF),,valid,
5h30.vn,CÔNG TY CỔ PHẦN PHÁT TRIỂN TRUYỀN THÔNG VIETPRO,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2020-06-17,Giấy phép (ABEI),257/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
60giay.com.vn,CÔNG TY CỔ PHẦN THEANH 28 TALENT,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2024-08-27,Giấy phép (ABEI),228/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
